Treatment,Ring,Tree ,Position,leafw,epiupper ,epilower,mesolay,meso,length par1,length par2,length par3,stomdenad,stomdenab,stomlengthad,stomlengthab,spi ad,spi ab
eCO2,R1,117,lower,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,29.33872549,20.72611111,224.0740741,209.2592593,25.92,27.5,5.808000001,5.754629631
eCO2,R1,117,upper,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,28.96683333,23.98588889,240.7407407,125,29.31,32.7,7.05611111,4.0875
eCO2,R1,116,lower,283.9723333,14.82866667,15.26233333,7.25,259.8815,42.77283333,37.228375,30.83383333,240.7459954,133.8443866,22.24,25.34,5.354190938,3.391616756
eCO2,R1,116,upper,283.397625,18.19111111,11.81444444,7,242.6837143,33.1805,33.78013333,21.58766667,140.625,231.25,28.83,28.14,4.05421875,6.507375
eCO2,R1,116,lower,281.643,16.73411111,12.47788889,7,245.0595,36.8875,34.02436667,24.58316667,251.5625,129.6875,25.33,27.83,6.372078125,3.609203125
eCO2,R1,116,upper,329.113,25.2466,16.281375,8,299.1461667,39.28566667,37.16213889,25.69283333,209.7222222,156.9444444,32.83,32.87,6.885180555,5.158763887
aCO2,R2,202,lower,282.7776,20.422,17.11877778,6.666666667,250.2808333,38.53966667,37.8245,26.47983333,243.75,200,28.66,28.18,6.985875,5.636
aCO2,R2,202,upper,300.11,21.05988889,19.362,7,278.8881667,36.41383333,36.679125,23.91883333,289.0625,225,24.77,26.48,7.160078125,5.958
aCO2,R2,208,lower,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,31.5172,23.68244444,276.3888889,168.0555556,25.82,31.99,7.136361111,5.376097224
aCO2,R2,208,upper,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,32.31485714,26.627,215.625,135.9375,29.75,32.31,6.41484375,4.392140625
aCO2,R2,209,upper,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,32.4083,23.55433333,168.75,140.625,35.68,36.09,6.021,5.07515625
aCO2,R2,202,lower,290.869,22.00755556,16.39866667,7,255.7305714,34.64233333,37.3657,29.00533333,213.8888889,172.2222222,28.53,33.15,6.10225,5.709166666
aCO2,R2,202,upper,261.9135,16.87844444,20.441,7,233.6693333,39.9045,32.24285,19.53625,225,207.8125,29.71,31.83,6.68475,6.614671875
aCO2,R3,3N,lower,383.4584444,25.79266667,24.38266667,8,332.0645556,44.08533333,40.43507273,28.56355556,107.7541738,99.86251486,30.34,32.75,3.269261633,3.270497362
aCO2,R3,3N,upper,402.0674444,25.19344444,24.91711111,7.666666667,343.5735556,41.96,40.83282,31.42355556,117.1875,100.9114583,34.87,38.93,4.086328125,3.928483072
aCO2,R3,3_out,lower,354.05975,25.311625,25.931875,7.5,289.525625,35.44877778,34.81479245,25.71933333,125,109.375,37.42,37.01,4.6775,4.04796875
aCO2,R3,3_out,upper,397.3445556,25.98111111,23.19311111,9,346.291,34.03866667,34.67668293,31.59866667,141.6666667,131.9444444,36.89,39.69,5.226083335,5.236874998
aCO2,R3,301,lower,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,29.7362037,20.20633333,147.2222222,136.1111111,35.39,35.26,5.210194444,4.799277777
aCO2,R3,301,upper,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,27.40446667,21.80055556,188.8888889,156.9444444,31.44,33.19,5.938666667,5.20898611
eCO2,R4,403,lower,242.9263333,20.07655556,15.14055556,7.666666667,215.0915556,25.012,24.62792157,20.06844444,221.875,218.75,29.23,28.91,6.48540625,6.3240625
eCO2,R4,403,upper,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,28.78562963,22.628,191.6666667,175,34.03,34.93,6.522416668,6.11275
eCO2,R4,408,lower,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,27.22977778,16.77644444,300,184.375,24.78,27.7,7.434,5.1071875
eCO2,R4,408,upper,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,34.90818519,27.634,200,165.625,35.32,36.9,7.064,6.1115625
eCO2,R4,422,lower,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,31.59648889,27.35977778,150,143.75,33.01,33.64,4.9515,4.83575
eCO2,R5,501,lower,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,34.05277083,26.967,151.5625,142.1875,35.15,36.47,5.327421875,5.185578125
eCO2,R5,501,upper,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,33.49945,23.53988889,167.1875,160.9375,37.65,37.24,6.294609375,5.9933125
eCO2,R5,513,lower,351.165,23.277,17.98933333,8,296.9282222,32.97011111,33.51994444,27.69166667,162.5,110.9375,37.88,39.68,6.1555,4.402
eCO2,R5,513,upper,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,30.7445,26.17844444,211.1111111,189.0625,31.63,33.05,6.677444444,6.248515625
eCO2,R5,523,lower,320.7708889,21.553,18.96744444,7,269.4577778,34.90355556,34.07091111,24.89233333,198.6111111,145.3125,32.85,34.31,6.524375,4.985671875
eCO2,R5,523,upper,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,33.0697037,26.57455556,184.375,153.125,32.59,35.92,6.00878125,5.50025
aCO2,R6,6_out1,lower,314.0774444,24.42755556,19.36222222,7,260.1178889,32.20955556,34.55382222,23.97155556,125,145.3125,34.4,36.44,4.3,5.2951875
aCO2,R6,6_out1,upper,339.0603333,22.45155556,20.55866667,8,290.5823333,30.59222222,32.35685185,26.56477778,181.25,196.875,32.96,32.22,5.974,6.3433125
aCO2,R6,6_out2,lower,257.89,17.70366667,15.89666667,7,223.6455556,28.526,25.6826,20.35666667,223.6111111,163.8888889,30.83,32.11,6.893930555,5.262472223
aCO2,R6,6_out2,upper,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,32.23025926,27.93811111,190.625,134.375,35.06,38.77,6.6833125,5.20971875
